ROI	ROI_new	hemisphere	label
1	5	left	posterior temporal  
2	4	left	anterior temporal  
3	3	left	MFG / PrecG 
4	10	right	posterior temporal  
5	9	right	anterior temporal  
6	2	left	IFG
7	17	right	temporal pole  
8	22	bilateral	medial SFG
10	24	right	Crus I / II / VIIb
11	1	left	IFG orbital
12	25	right	VIIb / VIIIa 
13	19	right	inferior occipital 
14	18	right	occipital
15	26	right	posterior VI / Crus I
16	21	bilateral	medial anterior SFG
17	16	left	occipital
18	20	bilateral	ventromedial frontal cortex
19	27	right	lateral VI
20	8	right	MFG / PrecG  
21	6	right	IFG orbital
22	11	left	temporal pole  
23	23	left	Crus I / II / VIIb
24	7	right	IFG
25	14	left	superior precuneus
26	15	left	precuneus / post ACC
27	13	left	parahippocampal gyrus  
28	12	left	BTLA   
