Atlas	ROI_Atlas	ROI_GcSS	ROI_TotalVoxelN	ROI_OverlappingVoxels	OverlapPercentage
HOCortical_2mm.nii	1	1	7053	1163	16.48
HOCortical_2mm.nii	2	1	1334	37	2.77
HOCortical_2mm.nii	3	1	2970	902	30.37
HOCortical_2mm.nii	4	1	2927	931	31.80
HOCortical_2mm.nii	5	1	650	531	81.69
HOCortical_2mm.nii	6	1	766	707	92.29
HOCortical_2mm.nii	7	1	4480	1343	29.97
HOCortical_2mm.nii	8	1	2366	1421	60.05
HOCortical_2mm.nii	9	1	280	278	99.28
HOCortical_2mm.nii	10	1	392	358	91.32
HOCortical_2mm.nii	11	1	449	395	87.97
HOCortical_2mm.nii	12	1	1382	997	72.14
HOCortical_2mm.nii	13	1	866	826	95.38
HOCortical_2mm.nii	14	1	336	59	17.55
HOCortical_2mm.nii	15	1	1020	32	3.13
HOCortical_2mm.nii	16	1	698	11	1.57
HOCortical_2mm.nii	17	1	3673	107	2.91
HOCortical_2mm.nii	18	1	1460	0	0
HOCortical_2mm.nii	19	1	954	105	11.00
HOCortical_2mm.nii	20	1	1064	512	48.12
HOCortical_2mm.nii	21	1	950	549	57.78
HOCortical_2mm.nii	22	1	4967	1054	21.22
HOCortical_2mm.nii	23	1	2042	248	12.14
HOCortical_2mm.nii	24	1	661	295	44.62
HOCortical_2mm.nii	25	1	523	350	66.92
HOCortical_2mm.nii	26	1	771	386	50.06
HOCortical_2mm.nii	27	1	639	15	2.34
HOCortical_2mm.nii	28	1	1551	46	2.96
HOCortical_2mm.nii	29	1	1320	0	0
HOCortical_2mm.nii	30	1	1229	217	17.65
HOCortical_2mm.nii	31	1	2809	482	17.15
HOCortical_2mm.nii	32	1	596	123	20.63
HOCortical_2mm.nii	33	1	1680	526	31.30
HOCortical_2mm.nii	34	1	582	0	0
HOCortical_2mm.nii	35	1	390	96	24.61
HOCortical_2mm.nii	36	1	1632	657	40.25
HOCortical_2mm.nii	37	1	317	27	8.51
HOCortical_2mm.nii	38	1	860	162	18.83
HOCortical_2mm.nii	39	1	652	0	0
HOCortical_2mm.nii	40	1	932	155	16.63
HOCortical_2mm.nii	41	1	355	138	38.87
HOCortical_2mm.nii	42	1	978	3	.30
HOCortical_2mm.nii	43	1	567	235	41.44
HOCortical_2mm.nii	44	1	358	135	37.70
HOCortical_2mm.nii	45	1	309	2	.64
HOCortical_2mm.nii	46	1	565	362	64.07
HOCortical_2mm.nii	47	1	122	61	50.00
HOCortical_2mm.nii	48	1	2757	1060	38.44
HOCortical_2mm.nii	49	1	8081	288	3.56
HOCortical_2mm.nii	50	1	1344	0	0
HOCortical_2mm.nii	51	1	2680	214	7.98
HOCortical_2mm.nii	52	1	2740	322	11.75
HOCortical_2mm.nii	53	1	555	460	82.88
HOCortical_2mm.nii	54	1	686	331	48.25
HOCortical_2mm.nii	55	1	4275	501	11.71
HOCortical_2mm.nii	56	1	2383	668	28.03
HOCortical_2mm.nii	57	1	278	239	85.97
HOCortical_2mm.nii	58	1	417	308	73.86
HOCortical_2mm.nii	59	1	409	257	62.83
HOCortical_2mm.nii	60	1	1357	663	48.85
HOCortical_2mm.nii	61	1	1162	697	59.98
HOCortical_2mm.nii	62	1	326	0	0
HOCortical_2mm.nii	63	1	946	0	0
HOCortical_2mm.nii	64	1	781	0	0
HOCortical_2mm.nii	65	1	3233	16	.49
HOCortical_2mm.nii	66	1	1476	0	0
HOCortical_2mm.nii	67	1	801	1	.12
HOCortical_2mm.nii	68	1	1235	321	25.99
HOCortical_2mm.nii	69	1	1469	363	24.71
HOCortical_2mm.nii	70	1	4813	172	3.57
HOCortical_2mm.nii	71	1	2045	18	.88
HOCortical_2mm.nii	72	1	752	257	34.17
HOCortical_2mm.nii	73	1	461	175	37.96
HOCortical_2mm.nii	74	1	714	208	29.13
HOCortical_2mm.nii	75	1	487	0	0
HOCortical_2mm.nii	76	1	1361	2	.14
HOCortical_2mm.nii	77	1	1273	0	0
HOCortical_2mm.nii	78	1	1168	0	0
HOCortical_2mm.nii	79	1	2804	36	1.28
HOCortical_2mm.nii	80	1	641	77	12.01
HOCortical_2mm.nii	81	1	1442	100	6.93
HOCortical_2mm.nii	82	1	656	0	0
HOCortical_2mm.nii	83	1	319	0	0
HOCortical_2mm.nii	84	1	1732	481	27.77
HOCortical_2mm.nii	85	1	292	0	0
HOCortical_2mm.nii	86	1	719	0	0
HOCortical_2mm.nii	87	1	815	3	.36
HOCortical_2mm.nii	88	1	888	260	29.27
HOCortical_2mm.nii	89	1	313	26	8.30
HOCortical_2mm.nii	90	1	877	0	0
HOCortical_2mm.nii	91	1	538	4	.74
HOCortical_2mm.nii	92	1	377	79	20.95
HOCortical_2mm.nii	93	1	282	0	0
HOCortical_2mm.nii	94	1	440	40	9.09
HOCortical_2mm.nii	95	1	143	21	14.68
HOCortical_2mm.nii	96	1	2499	954	38.17
DKT_in_MNI_sm2.nii	1	1	0	0	0
DKT_in_MNI_sm2.nii	2	1	0	0	0
DKT_in_MNI_sm2.nii	3	1	790	0	0
DKT_in_MNI_sm2.nii	4	1	1762	701	39.78
DKT_in_MNI_sm2.nii	5	1	0	0	0
DKT_in_MNI_sm2.nii	6	1	1039	296	28.48
DKT_in_MNI_sm2.nii	7	1	223	0	0
DKT_in_MNI_sm2.nii	8	1	2048	83	4.05
DKT_in_MNI_sm2.nii	9	1	2873	680	23.66
DKT_in_MNI_sm2.nii	10	1	3082	362	11.74
DKT_in_MNI_sm2.nii	11	1	531	141	26.55
DKT_in_MNI_sm2.nii	12	1	4095	957	23.36
DKT_in_MNI_sm2.nii	13	1	2322	118	5.08
DKT_in_MNI_sm2.nii	14	1	1595	745	46.70
DKT_in_MNI_sm2.nii	15	1	1049	441	42.04
DKT_in_MNI_sm2.nii	16	1	3436	2966	86.32
DKT_in_MNI_sm2.nii	17	1	429	58	13.51
DKT_in_MNI_sm2.nii	18	1	1220	14	1.14
DKT_in_MNI_sm2.nii	19	1	1124	834	74.19
DKT_in_MNI_sm2.nii	20	1	548	407	74.27
DKT_in_MNI_sm2.nii	21	1	1248	667	53.44
DKT_in_MNI_sm2.nii	22	1	595	356	59.83
DKT_in_MNI_sm2.nii	23	1	3283	109	3.32
DKT_in_MNI_sm2.nii	24	1	682	0	0
DKT_in_MNI_sm2.nii	25	1	3878	1237	31.89
DKT_in_MNI_sm2.nii	26	1	2716	440	16.20
DKT_in_MNI_sm2.nii	27	1	713	0	0
DKT_in_MNI_sm2.nii	28	1	3070	126	4.10
DKT_in_MNI_sm2.nii	29	1	6532	2237	34.24
DKT_in_MNI_sm2.nii	30	1	2901	2	.06
DKT_in_MNI_sm2.nii	31	1	4345	3098	71.30
DKT_in_MNI_sm2.nii	32	1	2889	601	20.80
DKT_in_MNI_sm2.nii	33	1	0	0	0
DKT_in_MNI_sm2.nii	34	1	0	0	0
DKT_in_MNI_sm2.nii	35	1	281	0	0
DKT_in_MNI_sm2.nii	36	1	1542	18	1.16
DKT_in_MNI_sm2.nii	37	1	0	0	0
DKT_in_MNI_sm2.nii	38	1	0	0	0
DKT_in_MNI_sm2.nii	39	1	592	0	0
DKT_in_MNI_sm2.nii	40	1	1578	184	11.66
DKT_in_MNI_sm2.nii	41	1	0	0	0
DKT_in_MNI_sm2.nii	42	1	1094	324	29.61
DKT_in_MNI_sm2.nii	43	1	269	0	0
DKT_in_MNI_sm2.nii	44	1	2055	0	0
DKT_in_MNI_sm2.nii	45	1	3621	369	10.19
DKT_in_MNI_sm2.nii	46	1	2903	5	.17
DKT_in_MNI_sm2.nii	47	1	529	0	0
DKT_in_MNI_sm2.nii	48	1	3958	489	12.35
DKT_in_MNI_sm2.nii	49	1	2425	2	.08
DKT_in_MNI_sm2.nii	50	1	1777	657	36.97
DKT_in_MNI_sm2.nii	51	1	928	200	21.55
DKT_in_MNI_sm2.nii	52	1	3236	1747	53.98
DKT_in_MNI_sm2.nii	53	1	391	0	0
DKT_in_MNI_sm2.nii	54	1	1204	0	0
DKT_in_MNI_sm2.nii	55	1	1106	486	43.94
DKT_in_MNI_sm2.nii	56	1	571	97	16.98
DKT_in_MNI_sm2.nii	57	1	1011	549	54.30
DKT_in_MNI_sm2.nii	58	1	734	327	44.55
DKT_in_MNI_sm2.nii	59	1	2756	16	.58
DKT_in_MNI_sm2.nii	60	1	707	0	0
DKT_in_MNI_sm2.nii	61	1	3596	458	12.73
DKT_in_MNI_sm2.nii	62	1	2967	25	.84
DKT_in_MNI_sm2.nii	63	1	545	0	0
DKT_in_MNI_sm2.nii	64	1	3039	48	1.57
DKT_in_MNI_sm2.nii	65	1	7874	490	6.22
DKT_in_MNI_sm2.nii	66	1	3669	44	1.19
DKT_in_MNI_sm2.nii	67	1	4041	1923	47.58
DKT_in_MNI_sm2.nii	68	1	2247	9	.40
DKT_in_MNI_sm2.nii	69	1	0	0	0
DKT_in_MNI_sm2.nii	70	1	0	0	0
DKT_in_MNI_sm2.nii	71	1	197	0	0
DKT_in_MNI_sm2.nii	72	1	1593	0	0
MMP_in_MNI_corr_2mm.nii	1	1	854	423	49.53
MMP_in_MNI_corr_2mm.nii	2	1	44	32	72.72
MMP_in_MNI_corr_2mm.nii	3	1	125	0	0
MMP_in_MNI_corr_2mm.nii	4	1	762	316	41.46
