effect	estimate	se	df	t_value	p_value	roi	atlas
(Intercept)	-0.072224625298129	0.0470263084166997	3981.88529037324	-1.53583446648942	0.124658434267691	3	DKT
condition2	-0.0275354186046465	0.0585059415751447	3224.89765493932	-0.470643115268561	0.637927442538565	3	DKT
task2	0.20101417988948	0.0476905423347023	3817.50452980668	4.21496946876217	2.55594273631168e-05	3	DKT
task3	0.275056927919135	0.048087006995476	3632.83887339062	5.71998435970474	1.15136495040346e-08	3	DKT
condition2:task2	0.0209527953751842	0.0602613048707489	3224.89765530182	0.347698998887009	0.72808894001595	3	DKT
condition2:task3	0.105998794588899	0.0632646834681776	3224.89765384429	1.67548130770648	0.0939367796106872	3	DKT
(Intercept)	0.384756266861718	0.0849885014529662	3982.77263751487	4.52715673631035	6.15292586511248e-06	4	DKT
condition2	0.592759372092888	0.10509353694116	3238.17114668631	5.6403028135285	1.84341354149897e-08	4	DKT
task2	0.0289644799942472	0.085997966042946	3800.34857559682	0.336804244646702	0.736283070456695	4	DKT
task3	0.114784077948628	0.0865908769215882	3622.90357236592	1.3255908939757	0.18505882351786	4	DKT
condition2:task2	0.167403147028921	0.108246675449577	3238.17114550366	1.54649689086203	0.122082328916461	4	DKT
condition2:task3	-0.4060203287858	0.113641609213214	3238.17114897004	-3.57281396837689	0.000358312291451966	4	DKT
(Intercept)	-0.302126930631085	0.0819123942701471	3996.29808628331	-3.68841532863354	0.000228656348150943	6	DKT
condition2	-0.0390459883721192	0.0976070566337579	3237.92039367731	-0.400032433296579	0.689159016627919	6	DKT
task2	-0.586414397937522	0.0814238457869219	3670.59423342786	-7.20199828772655	7.1644081189438e-13	6	DKT
task3	0.102137319797535	0.0814140758336629	3525.36404433585	1.25454129094596	0.209728494757846	6	DKT
condition2:task2	0.207799375765895	0.100535577053975	3237.92039315961	2.06692378812658	0.0388206450953551	6	DKT
condition2:task3	0.149822159631963	0.105546195411007	3237.92039460332	1.41949370177239	0.155851393642653	6	DKT
(Intercept)	0.00301852077335587	0.0311184777122605	3941.35525062705	0.0970009137743454	0.922730600757036	7	DKT
condition2	0.0748106428571458	0.0392770847494883	3195.20489658832	1.90468929489784	0.0569101821930477	7	DKT
task2	0.00406086185440823	0.0316818104986321	3821.7741321678	0.128176445427056	0.898016084135145	7	DKT
task3	-0.0551241943468066	0.0320594223582458	3635.44716947347	-1.71943816488099	0.0856197367906705	7	DKT
condition2:task2	-0.0500369335714317	0.0404382337596933	3195.20489696732	-1.23736694012847	0.216041810736845	7	DKT
condition2:task3	-0.126219322140014	0.0424361714377873	3195.20489488814	-2.9743334015194	0.00295823122672745	7	DKT
(Intercept)	-0.0485033361816472	0.0469726376196423	3996.1297794721	-1.0325870259703	0.30185968920528	8	DKT
condition2	0.102070779069774	0.0559927330790683	3238.78937379469	1.82292903841	0.0684062861210255	8	DKT
task2	0.324993292222744	0.0467021047309149	3672.21445906873	6.95885750964049	4.04481862481175e-12	8	DKT
task3	0.392450912254866	0.0466990574130586	3526.80456671413	8.40382941316336	6.18648127677081e-17	8	DKT
condition2:task2	-0.0121619717043354	0.057672692170767	3238.78937235539	-0.21087920897336	0.832994794552225	8	DKT
condition2:task3	0.0402767012451875	0.0605470562372819	3238.78937691657	0.665213203551044	0.505961502153437	8	DKT
(Intercept)	-0.0957379089971648	0.0886878976835341	3985.32162406294	-1.07949237153853	0.280433618356722	9	DKT
condition2	0.226303709302323	0.11275255580827	3244.5516342366	2.00708274575293	0.0448236535682547	9	DKT
task2	-0.170790362380367	0.0905161836497982	3890.23239163554	-1.88684890915359	0.0592550491157301	9	DKT
task3	0.149583381066181	0.0917778504741228	3702.79353959324	1.62984184412073	0.103219984214587	9	DKT
condition2:task2	0.117780993955468	0.116135489107398	3244.55163362814	1.01416883728408	0.310577816381176	9	DKT
condition2:task3	-0.325207766388937	0.121923595474082	3244.55163594786	-2.6673078752674	0.00768414605054899	9	DKT
(Intercept)	0.103430908282898	0.0405289799477745	3983.64672386666	2.55202347594682	0.01074694243965	10	DKT
condition2	0.231553441860438	0.051101270683764	3244.1121167943	4.53126583276936	6.07471246674357e-06	10	DKT
task2	0.0264289570638383	0.0412746957082954	3865.97348674196	0.640318641005187	0.522003411996627	10	DKT
task3	0.0259881019122185	0.0417569854167596	3680.18607974352	0.622365375585468	0.533740199759121	10	DKT
condition2:task2	-0.0538856111238946	0.0526344704324049	3244.11211643246	-1.02377036723674	0.306020082813225	10	DKT
condition2:task3	-0.231723327687209	0.055257733276161	3244.11211740836	-4.19350041973542	2.82029706831808e-05	10	DKT
(Intercept)	0.0189594955171372	0.0451983884493546	3985.5830185513	0.419472821213119	0.674893221629893	11	DKT
condition2	0.102591174418611	0.0576629997020322	3225.83585453364	1.77915084107211	0.0753091723043377	11	DKT
task2	-0.232669398396797	0.046168071549673	3896.56605075	-5.03961700341901	4.87645161158134e-07	11	DKT
task3	-0.323703563032038	0.046856979631981	3703.71337240829	-6.90833181255888	5.7477089584834e-12	11	DKT
condition2:task2	0.0461125996607076	0.0593930720753034	3225.83585322769	0.776396944112309	0.43757156995609	11	DKT
condition2:task3	-0.349562520875304	0.0623531785962147	3225.83585817014	-5.60617002605421	2.24270519212234e-08	11	DKT
(Intercept)	-0.103718751165698	0.0907382342023959	4001.58964304097	-1.14305454671235	0.253084325205419	12	DKT
condition2	0.0333284767441929	0.10693971675185	3238.46924730712	0.31165667683159	0.755321517578491	12	DKT
task2	0.347259129832491	0.0895983423153759	3635.33426550818	3.87573163586195	0.000108180636262736	12	DKT
task3	0.953292156041845	0.0894464760356303	3500.67478857773	10.6576826532787	4.0198505298433e-26	12	DKT
condition2:task2	0.227736578496602	0.110148246493865	3238.46924725815	2.06754610940889	0.0387619805101569	12	DKT
condition2:task3	0.234870275224308	0.11563795314349	3238.46924742647	2.0310829519169	0.0423281004835417	12	DKT
(Intercept)	0.169042992708969	0.0418558980384279	3985.93394125405	4.03868990109281	5.47619658404675e-05	13	DKT
condition2	0.109221988372088	0.053453920202245	3228.09358042883	2.04329239013421	0.0411045346677638	13	DKT
task2	-0.0423808396983391	0.042763866461273	3899.75119310595	-0.991043214876728	0.321725964641942	13	DKT
task3	-0.23037217370013	0.043414615967308	3707.48606767965	-5.30632757119409	1.18407682064422e-07	13	DKT
condition2:task2	-0.0277259310066479	0.0550577068776317	3228.09358059352	-0.503579472865989	0.614591281729213	13	DKT
condition2:task3	-0.176406454907521	0.0578017420228127	3228.0935801111	-3.05192280948728	0.00229231298916734	13	DKT
(Intercept)	-0.153380178918897	0.0703233986910601	4003.21088068339	-2.18106891552151	0.0292363248002462	14	DKT
condition2	0.000258453488358091	0.0825467442329182	3242.38029761836	0.00313099554391661	0.997502023689483	14	DKT
task2	-0.178039429958482	0.0692613126320991	3625.15189464457	-2.57054657488501	0.0101933840205368	14	DKT
task3	0.794539477210778	0.0691076481621729	3494.88706448304	11.4971280073988	4.70194696579437e-30	14	DKT
condition2:task2	0.226989837588131	0.0850234076468723	3242.38029789631	2.66973347540818	0.0076290095779678	14	DKT
condition2:task3	0.220103231551009	0.0892609110224588	3242.38029643954	2.46584119554448	0.0137205967685047	14	DKT
(Intercept)	0.330980252511528	0.0708146752164737	3986.6287790358	4.67389353265765	3.05306686879002e-06	15	DKT
condition2	0.377083186046532	0.090593443133622	3235.06820238693	4.16236730830893	3.23175037396114e-05	15	DKT
task2	-0.237510597634805	0.0723784120576953	3905.45345862501	-3.28151158449673	0.0010415972351837	15	DKT
task3	-0.700303562367051	0.0735158837939472	3715.11459979114	-9.52588102361506	2.85705223747844e-21	15	DKT
condition2:task2	-0.0602311152250027	0.0933115329654881	3235.06820274118	-0.645484146608968	0.5186592655443	15	DKT
condition2:task3	-0.845056410455985	0.0979621103401887	3235.06820140525	-8.62635979892016	9.76335526371603e-18	15	DKT
(Intercept)	0.812593534695114	0.0695326945619062	3981.77806767019	11.686495681131	4.77522060077257e-31	16	DKT
condition2	1.47757101162764	0.0869017550782648	3219.83528077701	17.0027752638243	3.73786845982642e-62	16	DKT
task2	-0.389154445950049	0.0706231815344708	3831.73075913256	-5.5102933271295	3.81809880633244e-08	16	DKT
task3	-0.972422497749097	0.0712887704960306	3643.21579740479	-13.640612553463	2.3427132078375e-41	16	DKT
condition2:task2	-0.140235717010067	0.089509082592036	3219.83527926176	-1.5667205265552	0.117278296771705	16	DKT
condition2:task3	-1.73100507068274	0.0939701486693305	3219.83528448751	-18.4207974042261	4.01006227308966e-72	16	DKT
(Intercept)	0.000715434324262794	0.0278493022892061	3986.00844676138	0.0256894882619765	0.97950629420159	17	DKT
condition2	0.0625791976744161	0.0355034749245738	3244.9121180119	1.76262176610498	0.0780584291781521	17	DKT
task2	-0.144951297548794	0.0284419917835274	3897.82415905284	-5.09638349704976	3.62627136747176e-07	17	DKT
task3	-0.083339338967211	0.0288604727351365	3710.24504214438	-2.8876636821596	0.00390359691720246	17	DKT
condition2:task2	0.0464896259799749	0.0365686914661956	3244.91211927727	1.27129585763139	0.203714533863554	17	DKT
condition2:task3	-0.102277719327959	0.0383912478399932	3244.91211488011	-2.66408947565944	0.0077578851071751	17	DKT
(Intercept)	0.104664484481299	0.0434366914868633	3982.22815314712	2.40958693902719	0.0160156750479525	18	DKT
condition2	0.0330430697674436	0.053983263775979	3233.25805124205	0.612098407101995	0.540515691859977	18	DKT
task2	-0.0466501714070675	0.0440339567818731	3816.28684535578	-1.05941357117086	0.289478518362153	18	DKT
task3	-0.0623702207959913	0.0443889957010038	3634.36122875215	-1.40508294479348	0.16008208221917	18	DKT
condition2:task2	0.0218158693260406	0.0556029324328378	3233.2580505967	0.392351057246697	0.694824704746439	18	DKT
condition2:task3	-0.137794542208388	0.0583741412140156	3233.25805327621	-2.36054080355882	0.0183073595766859	18	DKT
(Intercept)	0.94478464458553	0.0931956592884209	3981.90708650646	10.1376464504814	7.30946680706972e-24	19	DKT
condition2	1.32668663953474	0.116672096393013	3220.35665242496	11.3710705520003	2.10365040632438e-29	19	DKT
task2	-0.333047080886884	0.0947084377940098	3837.54251788641	-3.516551308884	0.000442253627217108	19	DKT
task3	-0.89646563446461	0.0956408809770054	3648.31782491827	-9.37324735308685	1.19785014866557e-20	19	DKT
condition2:task2	-0.00659556163104547	0.120172628306792	3220.35665313909	-0.054884059073814	0.956234236284916	19	DKT
condition2:task3	-1.29887183638512	0.126161942687347	3220.35665125588	-10.2952745393591	1.76577780646185e-24	19	DKT
(Intercept)	0.713196802174369	0.0907941604785948	3987.75472419358	7.85509550851025	5.09791314114865e-15	20	DKT
condition2	0.82742666279056	0.116825001502883	3215.82509213184	7.08261632481248	1.72999361894866e-12	20	DKT
task2	-0.288236435589055	0.0929089288368981	3917.22197921167	-3.1023545228366	0.00193355008594125	20	DKT
task3	-1.02109509256943	0.0945266962557227	3722.0588171332	-10.8021874561983	8.36013698964482e-27	20	DKT
condition2:task2	-0.00885269182738126	0.120330121053581	3215.82509261586	-0.0735700400686814	0.941357086598436	20	DKT
condition2:task3	-1.0212326883811	0.126327284755454	3215.82509092105	-8.08402310204022	8.78269653453045e-16	20	DKT
(Intercept)	0.650823328372788	0.0878996359662595	3985.52516327356	7.40416409258632	1.6016897154692e-13	21	DKT
condition2	0.983422162790767	0.112174189398643	3221.5250407665	8.76692016285398	2.91735164956994e-18	21	DKT
task2	-0.225571617917866	0.0897916268655337	3896.66910265465	-2.51216762399982	0.0120393016565349	21	DKT
task3	-0.984432938098797	0.0911392414500785	3702.61475351036	-10.8014168478462	8.46804961862837e-27	21	DKT
condition2:task2	-0.0487008540088998	0.115539769876169	3221.52504114431	-0.42150727893171	0.673412819155996	21	DKT
condition2:task3	-1.14704088326321	0.121298186039611	3221.52503961748	-9.45637293280402	5.9437792303936e-21	21	DKT
(Intercept)	-0.10134952192918	0.096940375717088	3998.27678903026	-1.04548307327548	0.295862960638194	22	DKT
condition2	0.102414616279088	0.115060041837894	3237.30335955499	0.890097158346057	0.373479859206508	22	DKT
task2	-0.235947264144468	0.0961392368732043	3657.28128218701	-2.45422443341893	0.0141651751967539	22	DKT
task3	1.1383373359212	0.0960711246598619	3515.71085419512	11.8489019458392	8.70924814346532e-32	22	DKT
condition2:task2	0.177002172672753	0.118512207016255	3237.30335966703	1.49353536761387	0.135394556572389	22	DKT
condition2:task3	0.275838127815399	0.124418767235123	3237.3033597062	2.217013831154	0.026691372539832	22	DKT
(Intercept)	0.349421365534322	0.060273614420463	3982.87235711816	5.79725256057803	7.26350492711684e-09	23	DKT
condition2	0.173247290697652	0.0754891282398046	3245.13207060213	2.29499657417292	0.0217968485248572	23	DKT
task2	-0.107852335666742	0.0612602632289901	3845.2142134984	-1.76055945537797	0.0783924818916806	23	DKT
task3	-0.111467327616994	0.0618699970987545	3662.22891675082	-1.80163783487938	0.071684618365324	23	DKT
condition2:task2	-0.0663917106693206	0.0777540408514427	3245.13207153998	-0.85386829986327	0.393240989770127	23	DKT
condition2:task3	-0.239752889122847	0.0816292443947065	3245.13206796531	-2.93709553360014	0.00333633306891625	23	DKT
(Intercept)	0.0891074740531447	0.0339297579412306	3983.71283968745	2.62623370928513	0.00866659307808569	24	DKT
condition2	0.0496247325581557	0.0429906678895267	3219.95493849364	1.15431406382605	0.248457095615764	24	DKT
task2	-0.105925604498335	0.0345998121777842	3875.75111259336	-3.06145027476037	0.00221777439308101	24	DKT
task3	-0.210491061594952	0.0350497326197109	3682.1854255004	-6.00549692857224	2.09245136648798e-09	24	DKT
condition2:task2	-0.0169350285921508	0.0442805239013278	3219.95493836489	-0.382448695274877	0.702153818014982	24	DKT
condition2:task3	-0.169615775865244	0.0464874322657157	3219.95493901721	-3.64863722512665	0.000267816800957853	24	DKT
(Intercept)	0.539299142689209	0.0837978479370266	3993.25097832819	6.43571590399896	1.37425346108706e-10	25	DKT
condition2	0.663708093023588	0.100418151740233	3229.05509393698	6.60944342752394	4.49582053320528e-11	25	DKT
task2	0.46495632433685	0.0835631262318599	3685.47021282605	5.56413271383302	2.82219406096259e-08	25	DKT
task3	0.294977174906108	0.0836276124147832	3533.12094181627	3.52727007729284	0.000425210292723755	25	DKT
condition2:task2	0.103030263916912	0.103431013904853	3229.05509321092	0.996125436918655	0.31926384084069	25	DKT
condition2:task3	-0.547236010346423	0.108585938680187	3229.05509453925	-5.0396581454084	4.92014120180129e-07	25	DKT
(Intercept)	-0.0151296442625913	0.0579852684951958	3986.20536976242	-0.260922207574926	0.794165977100618	26	DKT
condition2	0.103191465116281	0.0740563185180844	3236.21771426351	1.3934187815599	0.163588878234422	26	DKT
task2	-0.384191233040348	0.0592437853480723	3901.22073289813	-6.48492041457389	9.98809297167943e-11	26	DKT
task3	-0.0502003321346457	0.0601461579378551	3711.19218049356	-0.834639050203576	0.403974690733147	26	DKT
condition2:task2	0.0343308549970312	0.0762782423062393	3236.217713368	0.45007401795129	0.652687216465567	26	DKT
condition2:task3	-0.149486687557228	0.0800798931480759	3236.21771594232	-1.86671936837892	0.0620311515857233	26	DKT
(Intercept)	-0.0238079004278912	0.0485394159677542	3985.22519952976	-0.490485926812702	0.62381708944647	27	DKT
condition2	-0.084735360465113	0.0619002515946517	3218.16575978454	-1.36890171335643	0.171125536819618	27	DKT
task2	-0.0331151420142376	0.0495761582327349	3894.13431574831	-0.66796507020126	0.504195475067304	27	DKT
task3	-0.252961923880491	0.0503101832320275	3699.18916173565	-5.02804616540245	5.19011413987923e-07	27	DKT
condition2:task2	0.0368272974339516	0.0637574549266988	3218.16575888152	0.57761555062528	0.563564114651811	27	DKT
condition2:task3	-0.139668196621501	0.0669350790416111	3218.16576186635	-2.08662182253754	0.0370008621497571	27	DKT
(Intercept)	0.00464245791458809	0.0761265851561343	3982.32258198119	0.0609833989672135	0.951375490325129	28	DKT
condition2	-0.129423267441894	0.0949519031276282	3236.16352626067	-1.36304026753347	0.17296464794657	28	DKT
task2	0.205978214084329	0.077269233918381	3829.33166050781	2.66572092978045	0.00771460749960365	28	DKT
task3	0.273807774831877	0.077959255941369	3646.07195765734	3.51219071456763	0.000449820320509266	28	DKT
condition2:task2	0.179329477781839	0.097800760544681	3236.16352690117	1.83362048294002	0.0668021396279648	28	DKT
condition2:task3	0.414042432796224	0.102675077681725	3236.16352490005	4.03255047032625	5.64480387060623e-05	28	DKT
(Intercept)	0.36723354440489	0.0806848035018776	3984.40177884025	4.55145862004045	5.48638006095249e-06	29	DKT
condition2	0.574121186046624	0.102297852620269	3235.71452796134	5.61225061270612	2.16548650582016e-08	29	DKT
task2	-0.0445883225591653	0.0822919075005118	3880.77593659226	-0.541831194748864	0.587965905966085	29	DKT
task3	-0.39181429036382	0.0833766084063156	3691.35601210143	-4.69933111760086	2.70536960401974e-06	29	DKT
condition2:task2	0.0455701050298632	0.105367111756593	3235.71452804812	0.432488888327262	0.665414947938703	29	DKT
condition2:task3	-0.828401666361585	0.110618530208307	3235.71452846923	-7.48881462085614	8.91272620534892e-14	29	DKT
