task	condition	emmean	se	df	lowCI	highCI	roi	atlas
Alice	baseline	-0.072224625298129	0.0470263084166997	Inf	-0.164394496120733	0.0199452455244752	3	DKT
Lang	baseline	0.128789554591351	0.0153242669924111	Inf	0.0987545431967492	0.158824565985953	3	DKT
MD	baseline	0.202832302621006	0.0209340028743822	Inf	0.161802410934959	0.243862194307053	3	DKT
Alice	critical	-0.0997600439027755	0.047026308416699	Inf	-0.191929914725378	-0.00759017308017258	3	DKT
Lang	critical	0.122206931361889	0.0153242669924111	Inf	0.0921719199672868	0.15224194275649	3	DKT
MD	critical	0.281295678605258	0.0209340028743823	Inf	0.240265786919211	0.322325570291305	3	DKT
Alice	baseline	0.384756266861718	0.0849885014529662	Inf	0.218181864913875	0.551330668809562	4	DKT
Lang	baseline	0.413720746855965	0.0282775087236017	Inf	0.358297848185189	0.469143645526742	4	DKT
MD	baseline	0.499540344810346	0.0381765070878496	Inf	0.424715765862623	0.574364923758069	4	DKT
Alice	critical	0.977515638954606	0.084988501452961	Inf	0.810941237006773	1.14409004090244	4	DKT
Lang	critical	1.17388326597777	0.0282775087236017	Inf	1.118460367307	1.22930616464855	4	DKT
MD	critical	0.686279388117434	0.0381765070878496	Inf	0.611454809169711	0.761103967065158	4	DKT
Alice	baseline	-0.302126930631085	0.0819123942701471	Inf	-0.462672273288019	-0.141581587974152	6	DKT
Lang	baseline	-0.888541328568608	0.0311295549881859	Inf	-0.949554135200211	-0.827528521937004	6	DKT
MD	baseline	-0.19998961083355	0.0392784446572376	Inf	-0.276973947730485	-0.123005273936614	6	DKT
Alice	critical	-0.341172919003204	0.0819123942701575	Inf	-0.501718261660158	-0.18062757634625	6	DKT
Lang	critical	-0.719787941174832	0.0311295549881857	Inf	-0.780800747806435	-0.658775134543229	6	DKT
MD	critical	-0.0892134395737064	0.0392784446572376	Inf	-0.166197776470642	-0.0122291026767711	6	DKT
Alice	baseline	0.00301852077335587	0.0311184777122605	Inf	-0.0579725747963871	0.0640096163430989	7	DKT
Lang	baseline	0.0070793826277641	0.00962605679175511	Inf	-0.0117873419972131	0.0259461072527413	7	DKT
MD	baseline	-0.0521056735734507	0.0135266725932619	Inf	-0.0786174646869091	-0.0255938824599924	7	DKT
Alice	critical	0.0778291636305016	0.0311184777122619	Inf	0.016838068060756	0.138820259200247	7	DKT
Lang	critical	0.0318530919134782	0.00962605679175507	Inf	0.0129863672885011	0.0507198165384553	7	DKT
MD	critical	-0.103514352856319	0.0135266725932619	Inf	-0.130026143969778	-0.077002561742861	7	DKT
Alice	baseline	-0.0485033361816472	0.0469726376196423	Inf	-0.140568014174997	0.0435613418117029	8	DKT
Lang	baseline	0.276489956041096	0.017828155501968	Inf	0.24154741334646	0.311432498735733	8	DKT
MD	baseline	0.343947576073219	0.0225085713037391	Inf	0.299831586974439	0.388063565172	8	DKT
Alice	critical	0.0535674428881267	0.0469726376196433	Inf	-0.0384972351052253	0.145632120881479	8	DKT
Lang	critical	0.366398763406535	0.017828155501968	Inf	0.331456220711898	0.401341306101172	8	DKT
MD	critical	0.486295056388181	0.0225085713037391	Inf	0.4421790672894	0.530411045486961	8	DKT
Alice	baseline	-0.0957379089971648	0.0886878976835341	Inf	-0.269562994321465	0.0780871763271353	9	DKT
Lang	baseline	-0.266528271377532	0.0269646929479559	Inf	-0.319378098409707	-0.213678444345357	9	DKT
MD	baseline	0.053845472069016	0.0384100594113077	Inf	-0.0214368610211908	0.129127805159223	9	DKT
Alice	critical	0.130565800305158	0.0886878976835273	Inf	-0.0432592850191286	0.304390885629445	9	DKT
Lang	critical	0.0775564318802586	0.0269646929479559	Inf	0.024706604848084	0.130406258912433	9	DKT
MD	critical	-0.045058585017598	0.0384100594113077	Inf	-0.120340918107805	0.0302237480726089	9	DKT
Alice	baseline	0.103430908282898	0.0405289799477745	Inf	0.0239955672551145	0.182866249310682	10	DKT
Lang	baseline	0.129859865346737	0.0126412324249338	Inf	0.105083505073667	0.154636225619807	10	DKT
MD	baseline	0.129419010195117	0.0177227193659964	Inf	0.0946831185296534	0.16415490186058	10	DKT
Alice	critical	0.334984350143337	0.0405289799477759	Inf	0.25554900911555	0.414419691171124	10	DKT
Lang	critical	0.30752769608328	0.0126412324249339	Inf	0.28275133581021	0.332304056356351	10	DKT
MD	critical	0.129249124368346	0.0177227193659965	Inf	0.0945132327028825	0.16398501603381	10	DKT
Alice	baseline	0.0189594955171372	0.0451983884493546	Inf	-0.069627718002849	0.107546709037123	11	DKT
Lang	baseline	-0.21370990287966	0.013600665638171	Inf	-0.240366717696247	-0.187053088063074	11	DKT
MD	baseline	-0.3047440675149	0.0195021531843299	Inf	-0.34296758537717	-0.266520549652631	11	DKT
Alice	critical	0.121550669935748	0.0451983884493554	Inf	0.0329634564157607	0.210137883455736	11	DKT
Lang	critical	-0.0650061288003413	0.013600665638171	Inf	-0.091662943616928	-0.0383493139837547	11	DKT
MD	critical	-0.551715413971593	0.0195021531843299	Inf	-0.589938931833863	-0.513491896109323	11	DKT
Alice	baseline	-0.103718751165698	0.0907382342023959	Inf	-0.281562422223155	0.074124919891758	12	DKT
Lang	baseline	0.243540378666793	0.0358760787947495	Inf	0.173224556322563	0.313856201011023	12	DKT
MD	baseline	0.849573404876147	0.0444684945399265	Inf	0.762416757131175	0.936730052621119	12	DKT
Alice	critical	-0.0703902744215055	0.0907382342023938	Inf	-0.248233945478958	0.107453396635947	12	DKT
Lang	critical	0.504605433907588	0.0358760787947497	Inf	0.434289611563357	0.574921256251819	12	DKT
MD	critical	1.11777215684465	0.0444684945399266	Inf	1.03061550909968	1.20492880458962	12	DKT
Alice	baseline	0.169042992708969	0.0418558980384279	Inf	0.0870069400130698	0.251079045404869	13	DKT
Lang	baseline	0.12666215301063	0.0125568533088869	Inf	0.102051172766059	0.151273133255201	13	DKT
MD	baseline	-0.0613291809911605	0.0180405980844343	Inf	-0.096688103496214	-0.0259702584861069	13	DKT
Alice	critical	0.278264981081058	0.041855898038429	Inf	0.196228928385156	0.360301033776959	13	DKT
Lang	critical	0.20815821037607	0.0125568533088869	Inf	0.1835472301315	0.232769190620641	13	DKT
MD	critical	-0.128513647526593	0.0180405980844343	Inf	-0.163872570031647	-0.0931547250215399	13	DKT
Alice	baseline	-0.153380178918897	0.0703233986910601	Inf	-0.291211507623826	-0.015548850213968	14	DKT
Lang	baseline	-0.33141960887738	0.0282041334581469	Inf	-0.386698694670509	-0.276140523084251	14	DKT
MD	baseline	0.641159298291881	0.0347437712775974	Inf	0.573062757900693	0.709255838683069	14	DKT
Alice	critical	-0.153121725430539	0.0703233986910559	Inf	-0.29095305413546	-0.0152903967256182	14	DKT
Lang	critical	-0.10417131780089	0.0282041334581468	Inf	-0.159450403594019	-0.0488922320077614	14	DKT
MD	critical	0.861520983331248	0.0347437712775973	Inf	0.79342444294006	0.929617523722436	14	DKT
Alice	baseline	0.330980252511528	0.0708146752164737	Inf	0.192186039510339	0.469774465512718	15	DKT
Lang	baseline	0.0934696548767232	0.0211383593135581	Inf	0.0520392319298825	0.134900077823564	15	DKT
MD	baseline	-0.369323309855523	0.0304687528508761	Inf	-0.429040968097092	-0.309605651613954	15	DKT
Alice	critical	0.70806343855806	0.0708146752164779	Inf	0.569269225556863	0.846857651559258	15	DKT
Lang	critical	0.410321725698253	0.0211383593135582	Inf	0.368891302751412	0.451752148645093	15	DKT
MD	critical	-0.837296534264976	0.0304687528508761	Inf	-0.897014192506545	-0.777578876023407	15	DKT
Alice	baseline	0.812593534695114	0.0695326945619062	Inf	0.676311957605754	0.948875111784474	16	DKT
Lang	baseline	0.423439088745065	0.0223152749837394	Inf	0.379701953471828	0.467176224018301	16	DKT
MD	baseline	-0.159828963053984	0.030755415267529	Inf	-0.220108469307914	-0.0995494568000534	16	DKT
Alice	critical	2.29016454632275	0.0695326945619001	Inf	2.1538829692334	2.4264461234121	16	DKT
Lang	critical	1.76077438336263	0.0223152749837394	Inf	1.7170372480894	1.80451151863587	16	DKT
MD	critical	-0.413263022109089	0.0307554152675291	Inf	-0.47354252836302	-0.352983515855159	16	DKT
Alice	baseline	0.000715434324262794	0.0278493022892061	Inf	-0.05386819515715	0.0552990638056756	17	DKT
Lang	baseline	-0.144235863224531	0.00839821741278236	Inf	-0.160696066887922	-0.12777565956114	17	DKT
MD	baseline	-0.0826239046429482	0.0120256290192171	Inf	-0.106193704412053	-0.0590541048738429	17	DKT
Alice	critical	0.0632946319986789	0.0278493022892067	Inf	0.00871100251726483	0.117878261480093	17	DKT
