contrast	estimate	se	df	z_ratio	p_value	roi	atlas
Alice critical vs. baseline	-0.0275354186046465	0.0585059415751447	Inf	-0.470643115268561	0.637895612909126	3	DKT
Lang critical vs. baseline	-0.00658262322946231	0.0144388249221013	Inf	-0.455897433826929	0.648463734942992	3	DKT
MD critical vs. baseline	0.0784633759842523	0.0240722864459208	Inf	3.25948995998045	0.00111612730891457	3	DKT
Alice critical vs. baseline	0.592759372092888	0.10509353694116	Inf	5.6403028135285	1.69751366336637e-08	4	DKT
Lang critical vs. baseline	0.760162519121809	0.0259362919300906	Inf	29.308835710624	8.00299679900335e-189	4	DKT
MD critical vs. baseline	0.186739043307088	0.0432407659248285	Inf	4.31858777968278	1.57030765777443e-05	4	DKT
Alice critical vs. baseline	-0.0390459883721192	0.0976070566337579	Inf	-0.400032433296579	0.689132628504948	6	DKT
Lang critical vs. baseline	0.168753387393776	0.0240886850797253	Inf	7.00550432019263	2.46097740214024e-12	6	DKT
MD critical vs. baseline	0.110776171259843	0.0401604514545451	Inf	2.75833979070737	0.00580957747170468	6	DKT
Alice critical vs. baseline	0.0748106428571458	0.0392770847494883	Inf	1.90468929489784	0.056820471368148	7	DKT
Lang critical vs. baseline	0.0247737092857141	0.00962088162202968	Inf	2.57499367095296	0.0100241920891441	7	DKT
MD critical vs. baseline	-0.0514086792828686	0.0160667127900759	Inf	-3.19970114326203	0.00137570155906773	7	DKT
Alice critical vs. baseline	0.102070779069774	0.0559927330790683	Inf	1.82292903841	0.0683141391917437	8	DKT
Lang critical vs. baseline	0.0899088073654385	0.013818584028773	Inf	6.50636904463083	7.69889559563347e-11	8	DKT
MD critical vs. baseline	0.142347480314961	0.0230382260891932	Inf	6.17875177385006	6.4610387564297e-10	8	DKT
Alice critical vs. baseline	0.226303709302323	0.11275255580827	Inf	2.00708274575293	0.0447408531028313	9	DKT
Lang critical vs. baseline	0.344084703257791	0.0278264799950965	Inf	12.3653693646636	4.02357528313054e-35	9	DKT
MD critical vs. baseline	-0.098904057086614	0.0463920714350045	Inf	-2.13191724420366	0.0330136503419157	9	DKT
Alice critical vs. baseline	0.231553441860438	0.051101270683764	Inf	4.53126583276936	5.86313035073434e-06	10	DKT
Lang critical vs. baseline	0.177667830736544	0.0126114080183141	Inf	14.0878663570742	4.50982364212066e-45	10	DKT
MD critical vs. baseline	-0.00016988582677091	0.0210256324833294	Inf	-0.00807993894621756	0.993553211609534	10	DKT
Alice critical vs. baseline	0.102591174418611	0.0576629997020322	Inf	1.77915084107211	0.0752150353327718	11	DKT
Lang critical vs. baseline	0.148703774079319	0.0142307932282652	Inf	10.4494367737677	1.47397958877551e-25	11	DKT
MD critical vs. baseline	-0.246971346456693	0.0237254577703969	Inf	-10.4095503170796	2.24278544473108e-25	11	DKT
Alice critical vs. baseline	0.0333284767441929	0.10693971675185	Inf	0.31165667683159	0.755301455995184	12	DKT
Lang critical vs. baseline	0.261065055240795	0.0263919151769544	Inf	9.89185716498358	4.51571607660414e-23	12	DKT
MD critical vs. baseline	0.2681987519685	0.0440003771375899	Inf	6.09537393576966	1.09181926115465e-09	12	DKT
Alice critical vs. baseline	0.109221988372088	0.053453920202245	Inf	2.04329239013421	0.0410235024673964	13	DKT
Lang critical vs. baseline	0.0814960573654404	0.0131920241674753	Inf	6.1776764756365	6.50518441168822e-10	13	DKT
MD critical vs. baseline	-0.067184466535433	0.0219936308026622	Inf	-3.0547237579027	0.00225267904845048	13	DKT
Alice critical vs. baseline	0.000258453488358091	0.0825467442329182	Inf	0.00313099554391661	0.997501831077214	14	DKT
Lang critical vs. baseline	0.227248291076489	0.0203719136173153	Inf	11.1549801037512	6.77079647822417e-29	14	DKT
MD critical vs. baseline	0.220361685039367	0.0339638815965501	Inf	6.4881183975671	8.69149696137482e-11	14	DKT
Alice critical vs. baseline	0.377083186046532	0.090593443133622	Inf	4.16236730830893	3.14965171929223e-05	15	DKT
Lang critical vs. baseline	0.31685207082153	0.0223577781893603	Inf	14.1718943688382	1.36760848144349e-45	15	DKT
MD critical vs. baseline	-0.467973224409453	0.0372746981677726	Inf	-12.5547153273546	3.74525788717809e-36	15	DKT
Alice critical vs. baseline	1.47757101162764	0.0869017550782648	Inf	17.0027752638243	7.83225224028658e-65	16	DKT
Lang critical vs. baseline	1.33733529461757	0.0214466974330593	Inf	62.3562345107789	0	16	DKT
MD critical vs. baseline	-0.253434059055105	0.035755752058282	Inf	-7.08792416509677	1.36138530898698e-12	16	DKT
Alice critical vs. baseline	0.0625791976744161	0.0355034749245738	Inf	1.76262176610498	0.0779643035193125	17	DKT
Lang critical vs. baseline	0.109068823654391	0.00876198971866337	Inf	12.4479515676754	1.43480511333789e-35	17	DKT
MD critical vs. baseline	-0.0396985216535431	0.014607914943343	Inf	-2.71760355995462	0.00657565737323129	17	DKT
Alice critical vs. baseline	0.0330430697674436	0.053983263775979	Inf	0.612098407101995	0.540472651380735	18	DKT
Lang critical vs. baseline	0.0548589390934842	0.0133226621672918	Inf	4.11771599434287	3.82645841295728e-05	18	DKT
MD critical vs. baseline	-0.104751472440945	0.0222114293679382	Inf	-4.71610677123517	2.40400312771759e-06	18	DKT
Alice critical vs. baseline	1.32668663953474	0.116672096393013	Inf	11.3710705520003	5.82684957713275e-30	19	DKT
Lang critical vs. baseline	1.32009107790369	0.0287937930363802	Inf	45.8463765519114	0	19	DKT
