contrast	estimate	se	df	z_ratio	p_value	roi	atlas
Alice baseline	-0.072224625298129	0.0470263084166997	Inf	-1.53583446648942	0.124578984136848	3	DKT
Alice critical	-0.0997600439027755	0.047026308416699	Inf	-2.12136668306608	0.033890956729905	3	DKT
Language baseline	0.128789554591351	0.0153242669924111	Inf	8.40428809124312	4.30464807012492e-17	3	DKT
Language critical	0.122206931361889	0.0153242669924111	Inf	7.97473258736667	1.527111030927e-15	3	DKT
MD baseline	0.202832302621006	0.0209340028743822	Inf	9.68913130652236	3.35368920198746e-22	3	DKT
MD critical	0.281295678605258	0.0209340028743823	Inf	13.437261869754	3.65720406567616e-41	3	DKT
Alice baseline	0.384756266861718	0.0849885014529662	Inf	4.52715673631035	5.9782599758415e-06	4	DKT
Alice critical	0.977515638954606	0.084988501452961	Inf	11.5017399088468	1.29282700390932e-30	4	DKT
Language baseline	0.413720746855965	0.0282775087236017	Inf	14.6307353628594	1.78843641207446e-48	4	DKT
Language critical	1.17388326597777	0.0282775087236017	Inf	41.5129662747836	0	4	DKT
MD baseline	0.499540344810346	0.0381765070878496	Inf	13.0850196342173	4.01056539149342e-39	4	DKT
MD critical	0.686279388117434	0.0381765070878496	Inf	17.9764845049393	2.97785237063506e-72	4	DKT
Alice baseline	-0.302126930631085	0.0819123942701471	Inf	-3.68841532863354	0.000225655093195488	6	DKT
Alice critical	-0.341172919003204	0.0819123942701575	Inf	-4.16509518544865	3.11222690636588e-05	6	DKT
Language baseline	-0.888541328568608	0.0311295549881859	Inf	-28.5433353899798	3.39836882662615e-179	6	DKT
Language critical	-0.719787941174832	0.0311295549881857	Inf	-23.1223331476472	2.76058835421783e-118	6	DKT
MD baseline	-0.19998961083355	0.0392784446572376	Inf	-5.09158681253177	3.55079228942371e-07	6	DKT
MD critical	-0.0892134395737064	0.0392784446572376	Inf	-2.27130784714684	0.0231283485296905	6	DKT
Alice baseline	0.00301852077335587	0.0311184777122605	Inf	0.0970009137743454	0.922725668785975	7	DKT
Alice critical	0.0778291636305016	0.0311184777122619	Inf	2.50105947823515	0.0123822380978793	7	DKT
Language baseline	0.0070793826277641	0.00962605679175511	Inf	0.735439524294904	0.462071858190893	7	DKT
Language critical	0.0318530919134782	0.00962605679175507	Inf	3.30904882472344	0.000936135105385074	7	DKT
MD baseline	-0.0521056735734507	0.0135266725932619	Inf	-3.85206880806787	0.00011712409904128	7	DKT
MD critical	-0.103514352856319	0.0135266725932619	Inf	-7.65261021456845	1.96940185654664e-14	7	DKT
Alice baseline	-0.0485033361816472	0.0469726376196423	Inf	-1.0325870259703	0.30179720228255	8	DKT
Alice critical	0.0535674428881267	0.0469726376196433	Inf	1.14039674164956	0.254121049750669	8	DKT
Language baseline	0.276489956041096	0.017828155501968	Inf	15.5086125432648	3.03363414639503e-54	8	DKT
Language critical	0.366398763406535	0.017828155501968	Inf	20.551692145948	7.43267149430307e-94	8	DKT
MD baseline	0.343947576073219	0.0225085713037391	Inf	15.2807377879236	1.02770588158584e-52	8	DKT
MD critical	0.486295056388181	0.0225085713037391	Inf	21.6048833053832	1.6159637288028e-103	8	DKT
Alice baseline	-0.0957379089971648	0.0886878976835341	Inf	-1.07949237153853	0.280368292649997	9	DKT
Alice critical	0.130565800305158	0.0886878976835273	Inf	1.47219410669838	0.140968468395068	9	DKT
Language baseline	-0.266528271377532	0.0269646929479559	Inf	-9.88434290321621	4.86764706320067e-23	9	DKT
Language critical	0.0775564318802586	0.0269646929479559	Inf	2.87622158464586	0.00402467071028102	9	DKT
MD baseline	0.053845472069016	0.0384100594113077	Inf	1.40185859887434	0.16095747566537	9	DKT
MD critical	-0.045058585017598	0.0384100594113077	Inf	-1.17309334346754	0.240758375589986	9	DKT
Alice baseline	0.103430908282898	0.0405289799477745	Inf	2.55202347594682	0.0107099302133855	10	DKT
Alice critical	0.334984350143337	0.0405289799477759	Inf	8.26530424834242	1.39338911215244e-16	10	DKT
Language baseline	0.129859865346737	0.0126412324249338	Inf	10.2727219136165	9.3527905839658e-25	10	DKT
Language critical	0.30752769608328	0.0126412324249339	Inf	24.3273508267046	1.00701219508536e-130	10	DKT
MD baseline	0.129419010195117	0.0177227193659964	Inf	7.30243522579417	2.8260537271918e-13	10	DKT
MD critical	0.129249124368346	0.0177227193659965	Inf	7.29284946058158	3.03467118664444e-13	10	DKT
Alice baseline	0.0189594955171372	0.0451983884493546	Inf	0.419472821213119	0.674870613782505	11	DKT
Alice critical	0.121550669935748	0.0451983884493554	Inf	2.68926999625098	0.00716084751288332	11	DKT
Language baseline	-0.21370990287966	0.013600665638171	Inf	-15.7131943807127	1.22830999480596e-55	11	DKT
Language critical	-0.0650061288003413	0.013600665638171	Inf	-4.77962847773407	1.75619417393209e-06	11	DKT
MD baseline	-0.3047440675149	0.0195021531843299	Inf	-15.6261754604494	4.8293278804285e-55	11	DKT
MD critical	-0.551715413971593	0.0195021531843299	Inf	-28.2899743816441	4.59104038004764e-176	11	DKT
Alice baseline	-0.103718751165698	0.0907382342023959	Inf	-1.14305454671235	0.25301594444332	12	DKT
Alice critical	-0.0703902744215055	0.0907382342023938	Inf	-0.775750983477355	0.437896030549267	12	DKT
Language baseline	0.243540378666793	0.0358760787947495	Inf	6.78837785088249	1.13401332390701e-11	12	DKT
Language critical	0.504605433907588	0.0358760787947497	Inf	14.0652337395756	6.21172858908979e-45	12	DKT
MD baseline	0.849573404876147	0.0444684945399265	Inf	19.1050633412685	2.29149389910788e-81	12	DKT
MD critical	1.11777215684465	0.0444684945399266	Inf	25.1362716100281	1.99685406583999e-139	12	DKT
