contrast	estimate	se	df	z_ratio	p_value	roi	atlas
criticalAlice vs. criticalLang	-0.221966975264664	0.0476905423347017	Inf	-4.6543185377691	3.25053959397179e-06	3	DKT
criticalAlice vs. criticalMD	-0.381055722508034	0.0480870069954754	Inf	-7.92429694249609	2.29440746152848e-15	3	DKT
criticalLang vs. criticalMD	-0.15908874724337	0.0207149455685473	Inf	-7.67990177511852	1.59210617567942e-14	3	DKT
criticalAlice vs. criticalLang	-0.196367627023168	0.0859979660429406	Inf	-2.28339850415901	0.0224069053022737	4	DKT
criticalAlice vs. criticalMD	0.291236250837172	0.0865908769215829	Inf	3.36335952690394	0.000770000123052478	4	DKT
criticalLang vs. criticalMD	0.48760387786034	0.0372626593621097	Inf	13.0855898695238	3.98057961444077e-39	4	DKT
criticalAlice vs. criticalLang	0.378615022171628	0.0814238457869318	Inf	4.64992802185222	3.32050892520418e-06	6	DKT
criticalAlice vs. criticalMD	-0.251959479429498	0.081414075833672	Inf	-3.09479014346669	0.0019695219505162	6	DKT
criticalLang vs. criticalMD	-0.630574501601126	0.0348519999352621	Inf	-18.0929215761627	3.62357915185064e-73	6	DKT
criticalAlice vs. criticalLang	0.0459760717170234	0.0316818104986333	Inf	1.45118195562109	0.146729200092521	7	DKT
criticalAlice vs. criticalMD	0.181343516486821	0.0320594223582469	Inf	5.65648109502424	1.54507988564923e-08	7	DKT
criticalLang vs. criticalMD	0.135367444769798	0.0137693060012669	Inf	9.83110149177763	8.27091276318254e-23	7	DKT
criticalAlice vs. criticalLang	-0.312831320518408	0.0467021047309158	Inf	-6.69844158675189	2.10653894664545e-11	8	DKT
criticalAlice vs. criticalMD	-0.432727613500054	0.0466990574130596	Inf	-9.26630295066813	1.92709876322541e-20	8	DKT
criticalLang vs. criticalMD	-0.119896292981646	0.0199919081891426	Inf	-5.997241076105	2.00698006661264e-09	8	DKT
criticalAlice vs. criticalLang	0.0530093684248995	0.0905161836497914	Inf	0.585634151678264	0.558121393129699	9	DKT
criticalAlice vs. criticalMD	0.175624385322756	0.0917778504741161	Inf	1.91358137519561	0.0556736667025943	9	DKT
criticalLang vs. criticalMD	0.122615016897857	0.0396989297537592	Inf	3.08862273261273	0.00201086615509237	9	DKT
