effect	estimate	se	df	t_value	p_value	roi	atlas
(Intercept)	0.997206960271783	0.0619520673189517	7156.32050877897	16.0964275031824	2.71671906054897e-57	1	NA
condition2	1.37460303488408	0.0801777892638329	6385.48957313805	17.1444367262462	1.88396413865301e-64	1	NA
task2	-0.50983447784342	0.0606054612520776	6602.52933493351	-8.41235207703238	4.8770291511625e-17	1	NA
task3	-1.08495555469596	0.0636231499798737	6539.16843619126	-17.0528424801219	7.86292039531909e-64	1	NA
condition2:task2	-0.122624820431113	0.0813230540208155	6385.48957243056	-1.50787279090288	0.131636558616925	1	NA
condition2:task3	-1.56590820811243	0.0866992705764708	6385.48957489324	-18.0613769608507	3.70155835351232e-71	1	NA
(Intercept)	1.11700084391457	0.0496810185254915	7129.91966317165	22.4834529779504	3.24733146739885e-108	2	NA
condition2	1.4342472325578	0.0647155177585162	6369.47164448663	22.1623388367168	6.72828952706172e-105	2	NA
task2	-0.920369643018525	0.0488561779845311	6613.32395461415	-18.8383471852819	3.72916040276986e-77	2	NA
task3	-1.33645242551296	0.0513080604336036	6542.77313254437	-26.0476115101336	2.11882745059738e-142	2	NA
condition2:task2	-0.360984013241906	0.0656420730631969	6369.47164517401	-5.49927807573001	3.96167504052218e-08	2	NA
condition2:task3	-1.67417521287277	0.0699793326326214	6369.47164040554	-23.9238522273695	3.3664153690384e-121	2	NA
(Intercept)	0.741132131235505	0.0903038517851327	7086.27854218021	8.20709323671975	2.66925635465716e-16	3	NA
condition2	1.06146773255907	0.115370792541058	6314.98478320756	9.20048921551195	4.7514510647411e-20	3	NA
task2	0.391849944242383	0.0873805445162809	6489.78819642994	4.48440721457593	7.43754435005736e-06	3	NA
task3	0.0980548759751864	0.0916742209321809	6438.41686046497	1.06960141005971	0.284838857331122	3	NA
condition2:task2	0.306805585884229	0.11703758276058	6314.98478446036	2.62142790928835	0.0087772237953669	3	NA
condition2:task3	-0.884269848700797	0.124754793702587	6314.9847784741	-7.08806309125789	1.50806330876447e-12	3	NA
(Intercept)	1.33231792061117	0.0601616945339336	6939.18750351137	22.1456182531508	4.68031964329843e-105	4	NA
condition2	1.10988527906954	0.077615193602465	6168.23645950683	14.2998455270785	1.17014872821109e-45	4	NA
task2	-0.94486780430111	0.0587336533537278	6370.10139667536	-16.0873323954594	4.12876427719245e-57	4	NA
task3	-1.35698317342178	0.0616270461006562	6311.87676761025	-22.0192798338152	1.37594705592434e-103	4	NA
condition2:task2	-0.375890565180644	0.0787655073188284	6168.23645932706	-4.77227377790011	1.86355501948119e-06	4	NA
condition2:task3	-1.24017287355773	0.0839282391391738	6168.23646164757	-14.7765863585106	1.39403621147659e-48	4	NA
(Intercept)	1.33314582730548	0.0558489558617907	6868.98653455728	23.8705595607663	4.72089845896745e-121	5	NA
condition2	1.46554036046496	0.0724452634616139	6110.67355051131	20.2296228964851	3.92004256017534e-88	5	NA
task2	-1.25986640456303	0.0547745157640147	6330.58964712885	-23.000959241537	1.6782059520023e-112	5	NA
task3	-1.6209147659443	0.0574849571181238	6267.75397198314	-28.1971988360979	8.54558117541944e-165	5	NA
condition2:task2	-0.656190435552675	0.0735301736785046	6110.67354740787	-8.92409745177173	5.8492571530638e-19	5	NA
condition2:task3	-1.73023266164606	0.078337798491476	6110.67354784395	-22.0868175384624	4.56177466916788e-104	5	NA
(Intercept)	0.856151512806193	0.0797780608795566	7055.30317424454	10.7316661168131	1.15997213510586e-26	6	NA
condition2	1.25981087209317	0.10358219792517	6285.43116399083	12.1624265301195	1.17434963380726e-33	6	NA
task2	-0.242847846985765	0.0782582244280589	6514.17712011814	-3.10316070624641	0.00192285643675129	6	NA
task3	-0.768563438855024	0.0821643518837008	6448.13141428458	-9.35397677015555	1.14043861447797e-20	6	NA
condition2:task2	0.0248304861665154	0.105085240705831	6285.4311634708	0.236288997386649	0.813216123348748	6	NA
condition2:task3	-1.20797992130576	0.112007341275881	6285.43116522667	-10.7848280973873	6.97173423517384e-27	6	NA
(Intercept)	0.920943149365706	0.0681909703447566	6540.93334953405	13.5053533438467	5.13716307016459e-41	7	NA
condition2	1.24641910465094	0.0893290301059342	5814.25602066589	13.9531247923864	1.50752832237702e-43	7	NA
task2	-0.773725816655215	0.0674445737633533	6075.45143426723	-11.4720247083188	3.7209843388716e-30	7	NA
task3	-0.964036905845355	0.0707883091882144	6003.10557413333	-13.6185892402394	1.28310594447492e-41	7	NA
condition2:task2	-0.486572158994743	0.0907379372417887	5814.25601891633	-5.36238946779425	8.52980310415431e-08	7	NA
condition2:task3	-1.43449799638322	0.0965948527964905	5814.25602944658	-14.8506670371502	5.39626024571387e-49	7	NA
(Intercept)	0.520350820887531	0.0841619121996996	6935.86789097525	6.18273524552106	6.65754136609853e-10	8	NA
condition2	0.573699697674386	0.108164565672295	6159.59826587415	5.30395230738059	1.1727280699689e-07	8	NA
task2	0.223510652424003	0.081883050906886	6348.32101717488	2.72963268892081	0.00635797349794217	8	NA
task3	-0.106311451214957	0.0859111109345559	6293.73479209358	-1.23745869490549	0.2159630044823	8	NA
condition2:task2	0.381948386441014	0.109769302734656	6159.59826583644	3.47955554900712	0.000505723560178984	8	NA
condition2:task3	-0.500281042162577	0.116962428524315	6159.598262976	-4.27727987931248	1.92052633333401e-05	8	NA
(Intercept)	0.313798929021871	0.0362419373412697	6503.59684809854	8.65844797608376	5.95969535705697e-18	10	NA
condition2	0.289951244186033	0.0475699612779795	5794.924168867	6.09525920131984	1.16301570244667e-09	10	NA
task2	-0.176203273882003	0.0358860411076384	6058.54799037592	-4.91007836037111	9.34264649658352e-07	10	NA
task3	-0.325766750215948	0.0376777342159278	5986.30486066893	-8.64613430173396	6.75631588274715e-18	10	NA
condition2:task2	0.129101222902106	0.0483246692795441	5794.92416766832	2.67153867428027	0.00757154893954493	10	NA
condition2:task3	-0.352198080800207	0.0514391950940479	5794.92417373899	-6.84688164650074	8.32730548388176e-12	10	NA
(Intercept)	0.713665315712188	0.0771996555198913	6880.30274520372	9.24441062471198	3.09652452039302e-20	11	NA
condition2	1.03092825581397	0.100598867385785	6129.90769310071	10.2479111604754	1.9026006712058e-24	11	NA
task2	-0.274367535259299	0.0759825436983189	6369.94761732427	-3.61092853575221	0.000307449352435825	11	NA
task3	-1.05335127797182	0.0797684028941004	6301.58993123284	-13.2051193173597	2.7163758799521e-39	11	NA
condition2:task2	0.0466113925607348	0.102099644558339	6129.90769549594	0.45652845083218	0.648026191694836	11	NA
condition2:task3	-1.24256859833366	0.108781353330491	6129.90768234358	-11.4226249287282	6.45956271240625e-30	11	NA
