contrast	estimate	se	df	z_ratio	p_value	roi	atlas
Alice critical vs. baseline	1.37460303488408	0.0801777892638329	Inf	17.1444367262462	6.91658419671937e-66	5	GSS
Lang critical vs. baseline	1.25197821445297	0.0136000450012824	Inf	92.0569170421803	0	5	GSS
MD critical vs. baseline	-0.19130517322835	0.0329891743948909	Inf	-5.79902882498259	6.6700067909698e-09	5	GSS
Alice critical vs. baseline	1.4342472325578	0.0647155177585162	Inf	22.1623388367168	7.93221511112533e-109	4	GSS
Lang critical vs. baseline	1.07326321931589	0.0109901554712058	Inf	97.6567822109378	0	4	GSS
MD critical vs. baseline	-0.23992798031497	0.0266272183480412	Inf	-9.01062879264745	2.04878389471152e-19	4	GSS
Alice critical vs. baseline	1.06146773255907	0.115370792541058	Inf	9.20048921551195	3.56323761347376e-20	3	GSS
Lang critical vs. baseline	1.3682733184433	0.0196818700048489	Inf	69.5194774737463	0	3	GSS
MD critical vs. baseline	0.177197883858272	0.0474693456898572	Inf	3.73289080106563	0.000189294674705453	3	GSS
Alice critical vs. baseline	1.10988527906954	0.077615193602465	Inf	14.2998455270785	2.19295777467892e-46	10	GSS
Lang critical vs. baseline	0.733994713888899	0.0134121909188724	Inf	54.7259368979074	0	10	GSS
MD critical vs. baseline	-0.13028759448819	0.0319347936748339	Inf	-4.07980072815887	4.50743234849182e-05	10	GSS
Alice critical vs. baseline	1.46554036046496	0.0724452634616139	Inf	20.2296228964851	5.37121433080958e-91	9	GSS
Lang critical vs. baseline	0.809349924912285	0.0125845239547792	Inf	64.3131140931972	0	9	GSS
MD critical vs. baseline	-0.264692301181104	0.0298076244351752	Inf	-8.88002000148485	6.68483411748638e-19	9	GSS
Alice critical vs. baseline	1.25981087209317	0.10358219792517	Inf	12.1624265301195	4.92730047058091e-34	2	GSS
Lang critical vs. baseline	1.28464135825968	0.0177097737758936	Inf	72.5385526950282	0	2	GSS
MD critical vs. baseline	0.0518309507874053	0.0426189250531099	Inf	1.21614871146599	0.223928277323805	2	GSS
Alice critical vs. baseline	1.24641910465094	0.0893290301059342	Inf	13.9531247923864	3.01117836356962e-44	17	GSS
Lang critical vs. baseline	0.759846945656198	0.0159278885991777	Inf	47.7054407384183	0	17	GSS
MD critical vs. baseline	-0.188078891732279	0.0367544550647771	Inf	-5.11717263664509	3.10149721604605e-07	17	GSS
Alice critical vs. baseline	0.573699697674386	0.108164565672295	Inf	5.30395230738059	1.13321931034539e-07	22	GSS
Lang critical vs. baseline	0.9556480841154	0.018700977401632	Inf	51.1015046749376	0	22	GSS
MD critical vs. baseline	0.0734186555118091	0.0445043415773049	Inf	1.64969647701179	0.0990050311250346	22	GSS
Alice critical vs. baseline	0.289951244186033	0.0475699612779795	Inf	6.09525920131984	1.09260266849804e-09	24	GSS
Lang critical vs. baseline	0.419052467088139	0.00850719959733201	Inf	49.2585676747916	0	24	GSS
MD critical vs. baseline	-0.062246836614174	0.0195726742152179	Inf	-3.18029288842792	0.00147126266924519	24	GSS
Alice critical vs. baseline	1.03092825581397	0.100598867385785	Inf	10.2479111604754	1.20928596596392e-24	1	GSS
Lang critical vs. baseline	1.0775396483747	0.0174414821513686	Inf	61.7802798536908	0	1	GSS
MD critical vs. baseline	-0.211640342519687	0.0413914328467901	Inf	-5.11314366195225	3.16841145591295e-07	1	GSS
Alice critical vs. baseline	0.24377295348838	0.0449780912043877	Inf	5.41981544705035	5.96605919419919e-08	25	GSS
Lang critical vs. baseline	0.38739017248377	0.00840291353310132	Inf	46.1018872749002	0	25	GSS
MD critical vs. baseline	0.0735371597633129	0.0185244902775344	Inf	3.96972648972129	7.19551811381961e-05	25	GSS
