task	condition	emmean	se	df	lowCI	highCI	roi	atlas
Alice	baseline	0.944216790697695	0.0709853255449426	318.820266623694	0.804557946342457	1.08387563505293	1	NA
Lang	baseline	0.425216517262616	0.0565889012043529	141.708530424144	0.313348977827203	0.53708405669803	1	NA
MD	baseline	0.00222858830970085	0.0673700817692125	268.114516912771	-0.130413088730122	0.134870265349524	1	NA
Alice	critical	2.3188198255814	0.0709853255449427	318.820266623701	2.17916098122616	2.45847866993664	1	NA
Lang	critical	1.53541283869119	0.0565889012043529	141.708530424143	1.42354529925578	1.6472803781266	1	NA
MD	critical	-0.175801259309347	0.0673700817692124	268.114516912776	-0.30844293634917	-0.0431595822695242	1	NA
Alice	baseline	1.16938812790699	0.0622842759705496	562.420626965189	1.04704992056793	1.29172633524606	2	NA
Lang	baseline	0.292768602172897	0.0446313429214457	207.679894909584	0.204780032256211	0.380757172089584	2	NA
MD	baseline	-0.191744062440846	0.058007541034818	475.910410014908	-0.305726628224774	-0.0777614966569183	2	NA
Alice	critical	2.60363536046511	0.0622842759705497	562.42062696505	2.48129715312605	2.72597356780418	2	NA
Lang	critical	1.31182113391893	0.0446313429214457	207.679894909587	1.22383256400224	1.39980970383562	2	NA
MD	critical	-0.397421757678944	0.058007541034818	475.910410014924	-0.511404323462872	-0.283439191895016	2	NA
Alice	baseline	0.844927441860447	0.115559708020049	263.184040177548	0.617388226319083	1.07246665740181	3	NA
Lang	baseline	1.19945712881381	0.0951959638820137	128.755335193563	1.01110619411886	1.38780806350876	3	NA
MD	baseline	1.10850973285229	0.110387548728439	224.205885959588	0.890979904362002	1.32603956134257	3	NA
Alice	critical	1.90639517441858	0.115559708020049	263.184040177558	1.67885595887722	2.13393438995994	3	NA
Lang	critical	2.52620053357571	0.0951959638820139	128.755335193563	2.33784959888077	2.71455146827066	3	NA
MD	critical	1.3039560376142	0.110387548728439	224.205885959585	1.08642620912391	1.52148586610448	3	NA
Alice	baseline	1.27932439534882	0.0766884453821515	383.11446424786	1.12854146601646	1.43010732468119	4	NA
Lang	baseline	0.325896370419341	0.0593384500804145	159.099112019736	0.208703716082207	0.443089024756474	4	NA
MD	baseline	0.0480911171371996	0.0723391047650522	320.230814776655	-0.0942288079542643	0.190411042228664	4	NA
Alice	critical	2.3892096744186	0.0766884453821519	383.114464247871	2.23842674508624	2.53999260375096	4	NA
Lang	critical	0.913476836006383	0.0593384500804144	159.099112019738	0.79628418166925	1.03066949034352	4	NA
MD	critical	-0.0271153400056579	0.0723391047650522	320.230814776662	-0.169435265097122	0.115204585085806	4	NA
Alice	baseline	1.32927968604652	0.0773856852736652	417.673844714683	1.17716574606639	1.48139362602665	5	NA
Lang	baseline	0.0601440370221804	0.0589830615822458	168.525051288503	-0.0562968177928411	0.176584891837202	5	NA
MD	baseline	-0.210681841664127	0.0727885179792128	348.957267317001	-0.353841235724789	-0.067522447603465	5	NA
Alice	critical	2.79482004651164	0.0773856852736651	417.673844714658	2.64270610653151	2.94693398649177	5	NA
Lang	critical	0.791741971981531	0.0589830615822459	168.525051288503	0.67530111716651	0.908182826796553	5	NA
MD	critical	-0.427961279759366	0.0727885179792128	348.957267317001	-0.571120673820028	-0.284801885698704	5	NA
Alice	baseline	1.01157395348836	0.103328865607895	393.860842836557	0.808428851766521	1.21471905521019	6	NA
Lang	baseline	0.772781883659269	0.0793609084543724	159.864891411264	0.616050892382166	0.929512874936372	6	NA
MD	baseline	0.332429803335384	0.097386158419001	328.907300969023	0.140851486596638	0.524008120074129	6	NA
Alice	critical	2.27138482558136	0.103328865607895	393.86084283649	2.06823972385952	2.47452992730319	6	NA
Lang	critical	2.04005065350054	0.0793609084543725	159.864891411262	1.88331966222344	2.19678164477765	6	NA
MD	critical	0.409590460478241	0.0973861584190011	328.907300969023	0.218012143739496	0.601168777216987	6	NA
Alice	baseline	0.929275116279077	0.0984724868887025	404.952648856566	0.735694023747419	1.12285620881073	7	NA
Lang	baseline	0.165718715150737	0.0757979013730052	168.713214488394	0.0160842098433467	0.315353220458128	7	NA
MD	baseline	0.0739869951191078	0.0927065483509052	338.668211467763	-0.108366170367753	0.256340160605968	7	NA
Alice	critical	2.17569422093024	0.0984724868887025	404.952648856566	1.98211312839858	2.3692753134619	7	NA
Lang	critical	0.791768916831408	0.0757979013730052	168.713214488398	0.642134411524017	0.941403422138799	7	NA
MD	critical	-0.0739121858332727	0.0927065483509052	338.668211467763	-0.256265351320133	0.108440979653588	7	NA
Alice	baseline	0.565421720930248	0.0870059507308858	314.960343161518	0.394235382342055	0.73660805951844	8	NA
Lang	baseline	0.767222445982583	0.0695624335698894	141.333568962134	0.629705089877448	0.904739802087718	8	NA
MD	baseline	0.602033598204448	0.0826071171028228	265.07583171304	0.439384009563228	0.764683186845667	8	NA
Alice	critical	1.13912141860467	0.0870059507308857	314.960343161525	0.967935080016476	1.31030775719286	8	NA
Lang	critical	1.63884292198258	0.0695624335698894	141.333568962134	1.50132556587745	1.77636027808772	8	NA
MD	critical	0.718680236299686	0.0826071171028228	265.075831713035	0.556030647658466	0.881329824940906	8	NA
Alice	baseline	0.279771186046508	0.0289372032687872	437.69619518973	0.222898045758999	0.336644326334017	10	NA
Lang	baseline	0.12419263799767	0.0218903812140187	174.937685129492	0.0809894016848233	0.167395874310517	10	NA
MD	baseline	-0.00294232055066423	0.0271751610202524	365.959394286842	-0.0563813900465003	0.0504967489451718	10	NA
Alice	critical	0.569722430232559	0.0289372032687872	437.696195189703	0.51284928994505	0.626595570520068	10	NA
Lang	critical	0.42076120357144	0.0218903812140187	174.93768512949	0.377557967258593	0.463964439884287	10	NA
MD	critical	-0.027068196741141	0.0271751610202523	365.959394286842	-0.080507266236977	0.026370872754695	10	NA
Alice	baseline	0.723178860465107	0.084665304527904	384.094235195328	0.556713373099675	0.889644347830539	11	NA
Lang	baseline	0.468358289506358	0.0654779610708114	159.32450311905	0.33904158412572	0.597674994886995	11	NA
MD	baseline	-0.257375442296826	0.0798568229752069	321.037841500706	-0.414484224916611	-0.100266659677041	11	NA
Alice	critical	1.75410711627907	0.0846653045279045	384.094235195296	1.58764162891364	1.9205726036445	11	NA
Lang	critical	1.44395088059947	0.0654779610708114	159.32450311905	1.31463417521884	1.57326758598011	11	NA
MD	critical	-0.465616470868256	0.0798568229752069	321.037841500713	-0.622725253488041	-0.308507688248471	11	NA
Alice	baseline	0.363133918604653	0.0338798666522983	298.801347183445	0.296460543697157	0.429807293512149	12	NA
Lang	baseline	0.300054811362664	0.0275425590665793	142.412839060505	0.245609734206591	0.354499888518738	12	NA
MD	baseline	0.207650461090265	0.0322199408127258	252.524731959538	0.144196425283736	0.271104496896794	12	NA
Alice	critical	0.606906872093019	0.0338798666522983	298.801347183458	0.540233497185523	0.673580247000514	12	NA
Lang	critical	0.612444095845424	0.0275425590665793	142.412839060503	0.55799901868935	0.666889173001497	12	NA
MD	critical	0.256819642042646	0.0322199408127258	252.524731959533	0.193365606236116	0.320273677849175	12	NA
Alice	baseline	-0.0537972209302171	0.0969075759757648	250.223928260531	-0.244655705324232	0.137061263463798	13	NA
Lang	baseline	0.218854803744836	0.0808180727619095	127.868406087842	0.0589408685818497	0.378768738907822	13	NA
MD	baseline	1.60204542751369	0.0927285757375914	214.170617763066	1.41926791602595	1.78482293900143	13	NA
Alice	critical	-0.0169452441860311	0.0969075759757649	250.223928260536	-0.207803728580047	0.173913240207984	13	NA
Lang	critical	0.522910546483424	0.0808180727619094	127.868406087842	0.362996611320439	0.68282448164641	13	NA
MD	critical	1.93178122751369	0.0927285757375914	214.170617763066	1.74900371602594	2.11455873900143	13	NA
Alice	baseline	-0.0261851279069791	0.115209141795735	269.199959756196	-0.253010656498317	0.200640400684359	14	NA
Lang	baseline	-0.474192227161995	0.0950734997560588	133.464829041021	-0.662237914291369	-0.286146540032622	14	NA
MD	baseline	1.05698917158396	0.109959992739796	229.078915570798	0.840326896326898	1.27365144684102	14	NA
Alice	critical	-0.0425024302325621	0.115209141795735	269.199959756217	-0.2693279588239	0.184323098358776	14	NA
Lang	critical	-0.20021672505229	0.0950734997560587	133.46482904102	-0.388262412181663	-0.012171037922917	14	NA
MD	critical	1.31010954301253	0.109959992739796	229.078915570798	1.09344726775547	1.52677181826959	14	NA
Alice	baseline	0.235376465116275	0.0507805316851014	364.905925480163	0.135517246118513	0.335235684114036	15	NA
Lang	baseline	0.275786265328649	0.0398619398958831	158.929024762479	0.197058815389987	0.35451371526731	15	NA
MD	baseline	0.462028944978065	0.0479710438649219	305.698340815494	0.36763371006351	0.55642417989262	15	NA
Alice	critical	0.40783284883721	0.0507805316851013	364.905925480125	0.307973629839448	0.507692067834971	15	NA
Lang	critical	0.535637780222265	0.0398619398958831	158.929024762479	0.456910330283603	0.614365230160927	15	NA
MD	critical	0.616389992597112	0.0479710438649219	305.698340815487	0.521994757682557	0.710785227511667	15	NA
Alice	baseline	0.333444860465117	0.116914033095978	567.813691006184	0.1038080855385	0.563081635391733	16	NA
Lang	baseline	0.108248942646083	0.0837546405514964	211.850870262801	-0.0568502968820759	0.273348182174242	16	NA
MD	baseline	-0.86535188663161	0.108839175179392	481.33444219784	-1.07921049566993	-0.651493277593286	16	NA
Alice	critical	1.30444641860465	0.116914033095978	567.813691005948	1.07480964367803	1.53408319353127	16	NA
Lang	critical	1.12018955308785	0.0837546405514963	211.850870262804	0.95509031355969	1.28528879261601	16	NA
MD	critical	-1.67433704853637	0.108839175179392	481.33444219784	-1.8881956575747	-1.46047843949805	16	NA
Alice	baseline	-0.0383792209302351	0.0984004155628903	234.642216722248	-0.232240399832373	0.155481957971903	17	NA
Lang	baseline	-0.0177883404158338	0.0828865370417292	123.698976633418	-0.181847948953143	0.146271268121475	17	NA
MD	baseline	1.24504160322752	0.0943707428611349	202.000641474384	1.05896351024064	1.43111969621441	17	NA
Alice	critical	-0.0194674534883717	0.0984004155628903	234.642216722244	-0.21332863239051	0.174393725413767	17	NA
Lang	critical	0.296157449707622	0.0828865370417291	123.698976633418	0.132097841170314	0.460217058244931	17	NA
MD	critical	1.53855561275133	0.0943707428611349	202.000641474384	1.35247751976445	1.72463370573822	17	NA
