contrast	estimate	se	df	z_ratio	p_value	roi	atlas
Alice baseline	0.944216790697695	0.0709853255449426	318.820266623694	13.3015772407762	2.03815883741491e-32	5	GSS
Alice critical	2.3188198255814	0.0709853255449427	318.820266623701	32.6661856909185	9.39467184817565e-104	5	GSS
Language baseline	0.425216517262616	0.0565889012043529	141.708530424144	7.51413277538437	5.90704670032893e-12	5	GSS
Language critical	1.53541283869119	0.0565889012043529	141.708530424143	27.1327558233819	5.53663652955767e-58	5	GSS
MD baseline	0.00222858830970085	0.0673700817692125	268.114516912771	0.0330797922635044	0.97363556989744	5	GSS
MD critical	-0.175801259309347	0.0673700817692124	268.114516912776	-2.60948561576018	0.00957727588164825	5	GSS
Alice baseline	1.16938812790699	0.0622842759705496	562.420626965189	18.7750135918723	2.02526234014901e-61	4	GSS
Alice critical	2.60363536046511	0.0622842759705497	562.42062696505	41.8024504562951	1.14123859523238e-174	4	GSS
Language baseline	0.292768602172897	0.0446313429214457	207.679894909584	6.559708559256	4.20975839784991e-10	4	GSS
Language critical	1.31182113391893	0.0446313429214457	207.679894909587	29.3923742386113	6.15234070734991e-76	4	GSS
MD baseline	-0.191744062440846	0.058007541034818	475.910410014908	-3.30550233676954	0.00101968170425197	4	GSS
MD critical	-0.397421757678944	0.058007541034818	475.910410014924	-6.85120849098566	2.27394608245465e-11	4	GSS
Alice baseline	0.844927441860447	0.115559708020049	263.184040177548	7.31160935188463	3.17415028532803e-12	3	GSS
Alice critical	1.90639517441858	0.115559708020049	263.184040177558	16.4970577295664	1.81138202330171e-42	3	GSS
Language baseline	1.19945712881381	0.0951959638820137	128.755335193563	12.5998737751153	3.24888983905398e-24	3	GSS
Language critical	2.52620053357571	0.0951959638820139	128.755335193563	26.5368449518164	4.79605003563883e-54	3	GSS
MD baseline	1.10850973285229	0.110387548728439	224.205885959588	10.0419815968493	7.83366515065514e-20	3	GSS
MD critical	1.3039560376142	0.110387548728439	224.205885959585	11.8125282482902	2.36133678086083e-25	3	GSS
Alice baseline	1.27932439534882	0.0766884453821515	383.11446424786	16.6821010515174	2.34700779115658e-47	10	GSS
Alice critical	2.3892096744186	0.0766884453821519	383.114464247871	31.1547543115883	4.66927197712606e-107	10	GSS
Language baseline	0.325896370419341	0.0593384500804145	159.099112019736	5.49216182724172	1.54214909935364e-07	10	GSS
Language critical	0.913476836006383	0.0593384500804144	159.099112019738	15.3943494440528	2.50573255286161e-33	10	GSS
MD baseline	0.0480911171371996	0.0723391047650522	320.230814776655	0.664801109903048	0.506656170250139	10	GSS
MD critical	-0.0271153400056579	0.0723391047650522	320.230814776662	-0.374836543716222	0.708030150535288	10	GSS
Alice baseline	1.32927968604652	0.0773856852736652	417.673844714683	17.1773330086266	2.05227881439349e-50	9	GSS
Alice critical	2.79482004651164	0.0773856852736651	417.673844714658	36.1154654976318	1.49832540970865e-130	9	GSS
Language baseline	0.0601440370221804	0.0589830615822458	168.525051288503	1.01968320071544	0.309340320993024	9	GSS
Language critical	0.791741971981531	0.0589830615822459	168.525051288503	13.4232091509446	2.08516110919201e-28	9	GSS
MD baseline	-0.210681841664127	0.0727885179792128	348.957267317001	-2.89443785246863	0.00403731708471376	9	GSS
MD critical	-0.427961279759366	0.0727885179792128	348.957267317001	-5.87951632538507	9.62803132165719e-09	9	GSS
Alice baseline	1.01157395348836	0.103328865607895	393.860842836557	9.78984863074956	2.11993788233871e-20	2	GSS
Alice critical	2.27138482558136	0.103328865607895	393.86084283649	21.9820938923365	1.82476549307785e-70	2	GSS
Language baseline	0.772781883659269	0.0793609084543724	159.864891411264	9.73756347690464	6.96882313219697e-18	2	GSS
Language critical	2.04005065350054	0.0793609084543725	159.864891411262	25.7059891731638	1.15039295714269e-58	2	GSS
MD baseline	0.332429803335384	0.097386158419001	328.907300969023	3.41352209320255	0.000721456662090662	2	GSS
MD critical	0.409590460478241	0.0973861584190011	328.907300969023	4.2058385619442	3.35773991147806e-05	2	GSS
Alice baseline	0.929275116279077	0.0984724868887025	404.952648856566	9.43690106384111	3.0591368606144e-19	17	GSS
Alice critical	2.17569422093024	0.0984724868887025	404.952648856566	22.0944376411382	1.50254518866195e-71	17	GSS
Language baseline	0.165718715150737	0.0757979013730052	168.713214488394	2.18632326421846	0.0301690762591913	17	GSS
Language critical	0.791768916831408	0.0757979013730052	168.713214488398	10.4457894280618	5.16348896227671e-20	17	GSS
MD baseline	0.0739869951191078	0.0927065483509052	338.668211467763	0.798077335800038	0.425384859383456	17	GSS
MD critical	-0.0739121858332727	0.0927065483509052	338.668211467763	-0.797270388640794	0.425852615397368	17	GSS
Alice baseline	0.565421720930248	0.0870059507308858	314.960343161518	6.49865573768774	3.16672435540933e-10	22	GSS
Alice critical	1.13912141860467	0.0870059507308857	314.960343161525	13.0924541256728	1.43828032154909e-31	22	GSS
Language baseline	0.767222445982583	0.0695624335698894	141.333568962134	11.029264023832	8.57001387816256e-21	22	GSS
Language critical	1.63884292198258	0.0695624335698894	141.333568962134	23.5593097865967	8.52889576368114e-51	22	GSS
MD baseline	0.602033598204448	0.0826071171028228	265.07583171304	7.28791439913203	3.6180199611661e-12	22	GSS
MD critical	0.718680236299686	0.0826071171028228	265.075831713035	8.69997963256762	3.57334641747132e-16	22	GSS
Alice baseline	0.279771186046508	0.0289372032687872	437.69619518973	9.66821788020823	3.60757752314024e-20	24	GSS
Alice critical	0.569722430232559	0.0289372032687872	437.696195189703	19.6882340335593	2.89844293663241e-62	24	GSS
Language baseline	0.12419263799767	0.0218903812140187	174.937685129492	5.67338854373795	5.70070607872816e-08	24	GSS
Language critical	0.42076120357144	0.0218903812140187	174.93768512949	19.2212826016014	5.4706822421915e-45	24	GSS
MD baseline	-0.00294232055066423	0.0271751610202524	365.959394286842	-0.108272423794342	0.913838934356756	24	GSS
MD critical	-0.027068196741141	0.0271751610202523	365.959394286842	-0.996063895296457	0.319877239898833	24	GSS
