contrast	estimate	se	df	z_ratio	p_value	roi	atlas
criticalAlice vs. criticalLang	0.78340698689021	0.0627598365638309	797.83881893546	12.4826167463555	8.60700095375902e-33	1	NA
criticalAlice vs. criticalMD	2.49462108489075	0.0726307184570903	795.793358674926	34.3466392441726	2.78077531278473e-159	1	NA
criticalLang vs. criticalMD	1.71121409800054	0.0580014763971458	795.765490630177	29.5029403438555	7.86609317414609e-130	1	NA
criticalAlice vs. criticalLang	1.29181422654619	0.0634476363974828	801.449525893393	20.3603207289442	1.34723581672065e-74	2	NA
criticalAlice vs. criticalMD	3.00105711814406	0.0734746256224664	796.991180047766	40.8448099288637	1.28121621397468e-197	2	NA
criticalLang vs. criticalMD	1.70924289159787	0.0586759326970172	796.926663119046	29.1302210809981	1.33911572063209e-127	2	NA
criticalAlice vs. criticalLang	-0.619805359157134	0.0959903213727614	797.178036076675	-6.45695680869981	1.85544203902241e-10	3	NA
criticalAlice vs. criticalMD	0.602439136804385	0.111073314401317	795.595134606465	5.42379724645401	7.74559737102147e-08	3	NA
criticalLang vs. criticalMD	1.22224449596152	0.0887008302042807	795.573822595398	13.7794031143412	6.78593961366906e-39	3	NA
criticalAlice vs. criticalLang	1.47573283841222	0.0715617212419502	788.396971936601	20.6218186594865	6.71024634806578e-76	4	NA
criticalAlice vs. criticalMD	2.41632501442426	0.0826618071867168	786.060771459702	29.2314564205723	1.02343400107924e-127	4	NA
criticalLang vs. criticalMD	0.940592176012041	0.0662023791605715	785.945147167177	14.2078304124187	6.05938554889073e-41	4	NA
criticalAlice vs. criticalLang	2.00307807453011	0.0738539192268006	786.769013219482	27.1221635290443	6.87567821095339e-115	5	NA
criticalAlice vs. criticalMD	3.22278132627101	0.0852852166624085	784.211444228859	37.7882762381669	8.93379962753376e-179	5	NA
criticalLang vs. criticalMD	1.2197032517409	0.0683373761717821	784.031450459011	17.8482599137972	4.70656333029699e-60	5	NA
criticalAlice vs. criticalLang	0.231334172080813	0.096831960880238	798.786531428679	2.38902703175585	0.0171241986514656	6	NA
criticalAlice vs. criticalMD	1.86179436510311	0.112081839335458	796.089965012979	16.6110261585805	2.00199651143969e-53	6	NA
criticalLang vs. criticalMD	1.6304601930223	0.0895065908592626	796.052615248984	18.216090875207	3.0629695973826e-62	6	NA
criticalAlice vs. criticalLang	1.38392530409883	0.0937087333547907	770.170341194767	14.7683706155663	1.21161213643012e-43	7	NA
criticalAlice vs. criticalMD	2.24960640676351	0.107844837435763	768.180034730703	20.8596578218542	6.52955741599683e-77	7	NA
criticalLang vs. criticalMD	0.865681102664681	0.0868252372229009	767.843441590213	9.97038568915479	4.22972254819936e-22	7	NA
criticalAlice vs. criticalLang	-0.499721503377913	0.0767237808946572	793.712250886958	-6.51325439845096	1.3045469513532e-10	8	NA
criticalAlice vs. criticalMD	0.420441182304982	0.0887217120362629	791.78314199801	4.73887589244374	2.54739990472916e-06	8	NA
criticalLang vs. criticalMD	0.920162685682895	0.0709285433405802	791.718738480992	12.9730943615255	4.9086144811937e-35	8	NA
criticalAlice vs. criticalLang	0.148961226661119	0.0279681768054578	782.905613168505	5.32609714595518	1.31247447653914e-07	10	NA
criticalAlice vs. criticalMD	0.5967906269737	0.0322725812510083	780.309413265085	18.4921876044562	1.36173346072706e-63	10	NA
criticalLang vs. criticalMD	0.447829400312581	0.0258885553932204	780.05728268771	17.2983541766049	5.42285124911157e-57	10	NA
criticalAlice vs. criticalLang	0.310156235679597	0.0790539408900297	788.40454148484	3.92334945212977	9.49434120569907e-05	11	NA
criticalAlice vs. criticalMD	2.21972358714733	0.0913196274628141	786.062869570995	24.3071905659187	9.0194650558428e-98	11	NA
criticalLang vs. criticalMD	1.90956735146773	0.0731315159767944	785.92637368756	26.1114148389001	1.05392479523234e-108	11	NA
criticalAlice vs. criticalLang	-0.00553722375240505	0.0296938891901977	756.848750927019	-0.186476878018153	0.852120780340937	12	NA
criticalAlice vs. criticalMD	0.350087230050373	0.0340772516685146	755.763091419286	10.2733410973348	2.89538775813528e-23	12	NA
criticalLang vs. criticalMD	0.355624453802778	0.0275328953704251	755.427543827056	12.9163478456675	1.25491941336079e-34	12	NA
criticalAlice vs. criticalLang	-0.539855790669455	0.079472659060476	774.703169993079	-6.79297505647374	2.18926376171336e-11	13	NA
criticalAlice vs. criticalMD	-1.94872647169972	0.0915583497640472	773.569226775122	-21.2839842212287	1.73889987029632e-79	13	NA
criticalLang vs. criticalMD	-1.40887068103026	0.0735682141342639	773.402618800816	-19.1505352904046	3.32970226584473e-67	13	NA
criticalAlice vs. criticalLang	0.157714294819728	0.097234762194243	766.761966757419	1.6219949662104	0.105215508143088	14	NA
criticalAlice vs. criticalMD	-1.35261197324509	0.111833933251235	765.644754004087	-12.0948260865193	6.09569792227709e-31	14	NA
criticalLang vs. criticalMD	-1.51032626806482	0.0900790285998126	765.415857771294	-16.7666802311405	5.6244952904642e-54	14	NA
criticalAlice vs. criticalLang	-0.127804931385056	0.0471024330291734	763.586465282525	-2.7133403343708	0.00681095773009283	15	NA
criticalAlice vs. criticalMD	-0.208557143759902	0.0541376578223978	762.013113915748	-3.85234884826543	0.000126831098185565	15	NA
criticalLang vs. criticalMD	-0.0807522123748467	0.0436587758669396	761.620347519959	-1.84962154277889	0.0647553454329659	15	NA
criticalAlice vs. criticalLang	0.184256865516802	0.119589113651872	795.31336455138	1.54074948705766	0.123775529822793	16	NA
criticalAlice vs. criticalMD	2.97878346714102	0.138320939643498	791.044690246787	21.5353038724173	2.59299783715089e-81	16	NA
criticalLang vs. criticalMD	2.79452660162422	0.110651042179229	790.897070998247	25.2553120746728	1.15963262795721e-103	16	NA
criticalAlice vs. criticalLang	-0.315624903195994	0.0786208895220275	778.604342171434	-4.01451707192354	6.53272239694669e-05	17	NA
criticalAlice vs. criticalMD	-1.5580230662397	0.0906471364943612	777.512604685308	-17.187780292835	2.29979800650155e-56	17	NA
criticalLang vs. criticalMD	-1.24239816304371	0.0727535211075955	777.387747330456	-17.0768114605246	9.21189176681306e-56	17	NA
criticalAlice vs. criticalLang	0.157330968373343	0.0798108382580993	762.160451433649	1.97129828237805	0.0490511232461034	18	NA
criticalAlice vs. criticalMD	1.8297668680926	0.0916923701737678	760.284199342553	19.9554975471239	1.43095982665743e-71	18	NA
criticalLang vs. criticalMD	1.67243589971925	0.0739946335018577	759.798631146067	22.6021242429326	6.54523601726081e-87	18	NA
criticalAlice vs. criticalLang	-0.266251901051699	0.0460366526436569	756.857861127472	-5.78347655101254	1.0703889411606e-08	19	NA
criticalAlice vs. criticalMD	-0.304115084383661	0.0528330459211779	755.76540569679	-5.75615278432694	1.25087730415526e-08	19	NA
criticalLang vs. criticalMD	-0.0378631833319623	0.0426794835335138	755.388822265925	-0.887151863077971	0.375279506964483	19	NA
criticalAlice vs. criticalLang	0.538848997517514	0.104177815324308	759.263670962605	5.17239678947063	2.95964153562041e-07	20	NA
criticalAlice vs. criticalMD	0.951011309441602	0.119613562221192	757.922974685199	7.95069799595948	6.72964561246904e-15	20	NA
criticalLang vs. criticalMD	0.412162311924088	0.0966000891965295	757.579698480871	4.2666866599425	2.23533468827003e-05	20	NA
criticalAlice vs. criticalLang	0.775144965775933	0.091182250332775	765.334861137887	8.50105105924669	9.78785156218628e-17	21	NA
criticalAlice vs. criticalMD	1.84531407793858	0.104822513002794	762.767249862225	17.6041770520173	1.79942433587344e-58	21	NA
criticalLang vs. criticalMD	1.07016911216265	0.0845496129957534	762.203645095668	12.6572916686963	1.83095115972193e-33	21	NA
criticalAlice vs. criticalLang	0.134042989824221	0.0357238826396025	729.009420638628	3.75219544797251	0.000189221494376691	22	NA
criticalAlice vs. criticalMD	0.622325592045438	0.0408574840884926	728.002392806132	15.2316180481782	1.11168724422907e-45	22	NA
criticalLang vs. criticalMD	0.488282602221217	0.0331217739368622	727.501959128808	14.7420425956652	3.12771578384496e-43	22	NA
criticalAlice vs. criticalLang	0.248154708640387	0.0321815355816493	740.340083373491	7.7110897337631	4.02714078339964e-14	23	NA
